Nome,Tipo 1,Tipo 2,HP,Nível,Ataque,Defesa,Velocidade,Ataque Especial,Defesa Especial
Bulbasaur,Planta,Venenoso,45,5,49,49,45,65,65
Ivysaur,Planta,Venenoso,60,10,62,63,60,80,80
Venusaur,Planta,Venenoso,80,15,82,83,80,100,100
Charmander,Fogo,Nenhum,39,5,52,43,65,60,50
Charmeleon,Fogo,Nenhum,58,10,64,58,80,80,65
Charizard,Fogo,Voador,78,15,84,78,100,109,85
Squirtle,Agua,Nenhum,44,5,48,65,43,50,64
Wartortle,Agua,Nenhum,59,10,63,80,58,65,80
Blastoise,Agua,Nenhum,79,15,83,100,78,85,105
Caterpie,Inseto,Nenhum,45,5,30,35,45,20,20
Metapod,Inseto,Nenhum,50,10,20,55,30,25,25
Butterfree,Inseto,Voador,60,15,45,50,70,80,80
Weedle,Inseto,Venenoso,40,5,35,30,50,20,20
Kakuna,Inseto,Venenoso,45,10,25,50,35,25,25
Beedrill,Inseto,Venenoso,65,15,90,40,75,45,80
Pidgey,Normal,Voador,40,5,45,40,56,35,35
Pidgeotto,Normal,Voador,63,10,60,55,71,50,50
Pidgeot,Normal,Voador,83,15,80,75,91,70,70
Rattata,Normal,Nenhum,30,5,56,35,72,25,35
Raticate,Normal,Nenhum,55,10,81,60,97,50,70
Spearow,Normal,Voador,40,5,60,30,70,31,31
Fearow,Normal,Voador,65,10,90,65,100,61,61
Ekans,Venenoso,Nenhum,35,5,60,44,55,40,50
Arbok,Venenoso,Nenhum,60,10,85,69,65,65,75
Pikachu,Eletrico,Nenhum,35,10,55,40,90,50,50
Raichu,Eletrico,Nenhum,60,15,90,55,110,90,80
Sandshrew,Terrestre,Nenhum,50,5,75,85,40,30,30
Sandslash,Terrestre,Nenhum,75,10,100,110,55,55,55
Nidoran♀,Venenoso,Nenhum,55,5,47,52,41,40,50
Nidorina,Venenoso,Nenhum,70,10,62,67,56,55,65
Nidoqueen,Venenoso,Terrestre,90,15,82,87,76,75,85
Nidoran♂,Venenoso,Nenhum,46,5,57,40,46,40,40
Nidorino,Venenoso,Nenhum,61,10,72,57,71,55,65
Nidoking,Venenoso,Terrestre,81,15,92,77,85,85,75
Clefairy,Fada,Normal,70,5,45,48,60,60,65
Clefable,Fada,Normal,95,10,70,73,70,85,95
Vulpix,Fogo,Nenhum,38,5,41,40,65,65,65
Ninetales,Fogo,Nenhum,73,10,76,75,100,100,100
Jigglypuff,Normal,Fada,115,5,45,20,20,25,25
Wigglytuff,Normal,Fada,140,10,70,45,30,50,50
Zubat,Venenoso,Voador,40,5,45,35,55,40,40
Golbat,Venenoso,Voador,75,10,80,70,90,75,75
Oddish,Planta,Venenoso,45,5,50,55,30,75,75
Gloom,Planta,Venenoso,60,10,65,70,40,85,85
Vileplume,Planta,Venenoso,75,15,80,85,50,100,100
Paras,Inseto,Planta,35,5,70,55,55,45,55
Parasect,Inseto,Planta,60,10,95,80,60,60,80
Venonat,Inseto,Venenoso,60,5,55,50,45,40,50
Venomoth,Inseto,Venenoso,70,10,65,60,70,90,75
Diglett,Terrestre,Nenhum,10,5,55,25,95,45,35
